job_id,title,company,city,country,employment_type,is_remote,posted_at,skills_detected,n_skills_detected
Ke3bmpSjkXu9JetSAAAAAA==,HR Data Analyst,Noatum,,,A tiempo completo,False,hace 21 horas,"Teamwork, Communication",2
w9mR6pkvDOoE5PD-AAAAAA==,Data Analyst Etl,Kenos Technology,,,A tiempo completo,False,hace 3 días,Sql,1
pTC7RmbUhXcHk8VGAAAAAA==,Data Analyst - Permanent - Barcelona,papernest,,,A tiempo completo,False,hace 6 días,"Data Visualization, Python, Communication, Sql",4
nIKVDPGJF-LI8wKeAAAAAA==,Senior Web Analyst/ Digital Analyst- Full Time,Alphayotta,,,A tiempo completo,False,hace 2 días,,0
eKlY0f23pRUVTqmGAAAAAA==,Data Analyst|Teletrabajo,ALTEN Spain,,,A tiempo completo,False,hace 2 días,"Python, Inglés, Excel, Sql",4
U6CgfLNAjkw35qJ0AAAAAA==,"Senior Product Data Analyst — Remote, Data-Driven Impact",EcoVadis,,,A tiempo completo,False,hace 16 horas,"Python, Sql",2
yhqXGAWia67BWvmpAAAAAA==,"Data Analyst (VIE) - Barcelona, Drive Partner Analytics",PARTECH PARTNERS,,,A tiempo completo,False,hace 3 días,Sql,1
YDT6SkOIBECttDExAAAAAA==,Data Analyst Engineer (Área Metropolitana de,Logisfashion,,,A tiempo completo,False,hace 2 días,"Python, Sql, Nosql, Inglés, Scrum, Excel, Power Bi",7
GvhDWVk4MKhltAKUAAAAAA==,Data Analyst Consultant,Prenomics SL,,,A tiempo completo,False,,"Machine Learning, Python, Sql",3
a2rcmg0ByzzFXJkeAAAAAA==,Data Analyst - Power Platform,MIGSO-PCUBED,,,A tiempo completo,False,hace 1 día,"Python, Sql, Inglés, Excel, Power Bi",5
